,f1,f2,f_screen,num_of_rows,screen_coef_mean,screen_coef_lower,screen_coef_upper,score_screen_mean,score_screen_lower,score_screen_upper,score_elim_mean,score_elim_lower,score_elim_upper
0,137.0,260.0,80.0,452.0,1.696295235943987,1.2240116765294093,2.1685787953585645,0.06917874396135262,0.05720129430969724,0.081156193613008,0.11169082125603862,0.09933612860500328,0.12404551390707395
1,17.0,68.0,89.0,452.0,1.3861321870642014,1.219364090482436,1.5529002836459669,0.16077294685990334,0.14946159345682358,0.1720843002629831,0.22096618357487918,0.20983341627647883,0.23209895087327953
2,68.0,162.0,89.0,452.0,1.3430258544705218,1.1578545583598383,1.5281971505812055,0.14811594202898548,0.13671058144856577,0.1595213026094052,0.1968115942028985,0.184702467381799,0.20892072102399803
3,177.0,208.0,1.0,452.0,1.6394017189582133,1.323525042591252,1.9552783953251747,0.1000966183574879,0.08803902306899783,0.11215421364597797,0.16028985507246374,0.14843891039258136,0.1721407997523461
4,137.0,147.0,221.0,452.0,2.517267197886313,1.6607157910066899,3.373818604765936,0.054975845410628,0.04185446847531941,0.0680972223459366,0.12714975845410625,0.11309013247359054,0.14120938443462197
5,137.0,147.0,228.0,452.0,2.2274859802794285,1.5444920382896725,2.9104799222691846,0.06086956521739128,0.04851756006085988,0.07322157037392268,0.12714975845410625,0.11309013247359054,0.14120938443462197
6,92.0,176.0,4.0,452.0,1.298790763664923,1.184712037670175,1.412869489659671,0.238743961352657,0.22577556556912393,0.25171235713619006,0.3085990338164251,0.29820665952957853,0.3189914081032717
7,137.0,147.0,1.0,452.0,1.3705717445989567,1.0481266989271203,1.6930167902707933,0.09565217391304345,0.08340696043069716,0.10789738739538975,0.12714975845410625,0.11309013247359054,0.14120938443462197
8,137.0,147.0,262.0,452.0,1.4910040690703736,1.1048205565587232,1.8771875815820243,0.08879227053140096,0.07522390720037468,0.10236063386242723,0.12714975845410625,0.11309013247359054,0.14120938443462197
9,137.0,147.0,229.0,452.0,1.5570285537461752,1.1382959396936863,1.9757611677986642,0.08541062801932364,0.07147087752106869,0.0993503785175786,0.12714975845410625,0.11309013247359054,0.14120938443462197
10,177.0,189.0,239.0,452.0,1.3010695980924987,1.1116690182193818,1.4904701779656158,0.14792270531400964,0.1357115113621684,0.16013389926585087,0.19014492753623183,0.17801589458050981,0.20227396049195384
11,137.0,147.0,167.0,452.0,1.4432933391366127,1.0963499221576352,1.79023675611559,0.09101449275362317,0.07887749145594267,0.10315149405130367,0.12714975845410625,0.11309013247359054,0.14120938443462197
12,189.0,197.0,7.0,452.0,1.33210886914376,1.048138487040487,1.616079251247033,0.1094685990338164,0.09644439639141006,0.12249280167622273,0.14212560386473427,0.12838941982226654,0.155861787907202
13,177.0,189.0,1.0,452.0,1.3134193258523053,1.1283147680099277,1.4985238836946826,0.14637681159420288,0.13498213988637783,0.15777148330202792,0.19014492753623183,0.17801589458050981,0.20227396049195384
14,17.0,68.0,125.0,452.0,1.3718345112478532,1.199982913081031,1.543686109414675,0.1626086956521739,0.15035372117281365,0.17486367013153414,0.22096618357487918,0.20983341627647883,0.23209895087327953
15,90.0,176.0,4.0,452.0,1.2953122718829886,1.174475923725491,1.4161486200404863,0.22367149758454105,0.21115973826475204,0.23618325690433006,0.2882125603864734,0.277391548821208,0.29903357195173885
16,177.0,208.0,52.0,452.0,1.4015958880177704,1.170040858925792,1.633150917109749,0.11613526570048308,0.10540409826728715,0.126866433133679,0.16028985507246374,0.14843891039258136,0.1721407997523461
17,189.0,191.0,239.0,452.0,1.240580733006483,1.0313950926575115,1.4497663733554547,0.13091787439613523,0.11891508617746291,0.14292066261480754,0.15990338164251205,0.14740767006027236,0.17239909322475175
18,177.0,189.0,125.0,452.0,1.563115184934237,1.312622401277308,1.8136079685911664,0.12357487922705312,0.11153124820524626,0.13561851024885999,0.19014492753623183,0.17801589458050981,0.20227396049195384
19,196.0,223.0,4.0,452.0,1.1691056706579184,1.0808940146459418,1.257317326669895,0.3121739130434782,0.2986136186033547,0.32573420748360166,0.36376811594202896,0.35208415523446435,0.37545207664959357
20,167.0,266.0,198.0,452.0,1.3853812658542408,1.2487542756360184,1.5220082560724633,0.20541062801932364,0.19386922773903495,0.21695202829961233,0.2829951690821256,0.27091977294704733,0.2950705652172038
21,247.0,266.0,248.0,452.0,1.2365701272965486,1.122184378424677,1.3509558761684202,0.23787439613526565,0.22568101422427633,0.25006777804625496,0.2927536231884058,0.2806221540708767,0.3048850923059349
22,227.0,266.0,248.0,452.0,1.2096651296136676,1.1047068463586969,1.3146234128686385,0.24492753623188407,0.23341976327366715,0.256435309190101,0.2950724637681159,0.2832858417104138,0.306859085825818
23,137.0,147.0,252.0,452.0,1.6272975361807283,1.214847375496165,2.0397476968652914,0.08115942028985504,0.06922884857359282,0.09308999200611726,0.12714975845410625,0.11309013247359054,0.14120938443462197
24,177.0,208.0,162.0,452.0,1.3850878359649663,1.1451408191411079,1.6250348527888248,0.11777777777777775,0.10593052786340208,0.12962502769215342,0.16028985507246374,0.14843891039258136,0.1721407997523461
25,189.0,191.0,68.0,452.0,1.253325070395157,1.0427660723764616,1.4638840684138525,0.1295652173913043,0.11776826932172955,0.14136216546087907,0.15990338164251205,0.14740767006027236,0.17239909322475175
26,189.0,191.0,1.0,452.0,1.3913161159696212,1.1491460368850828,1.6334861950541595,0.11690821256038644,0.10554058782176345,0.12827583729900943,0.15990338164251205,0.14740767006027236,0.17239909322475175
27,177.0,189.0,68.0,452.0,1.2817036664287516,1.1028884499946892,1.4605188828628142,0.149951690821256,0.13849458768754128,0.16140879395497074,0.19014492753623183,0.17801589458050981,0.20227396049195384
28,68.0,162.0,125.0,452.0,1.3122522723523962,1.1311343946279866,1.4933701500768055,0.15159420289855072,0.13989881946766716,0.16328958632943427,0.1968115942028985,0.184702467381799,0.20892072102399803
29,223.0,268.0,92.0,452.0,1.1557810647237567,1.0421757526438364,1.2693863768036773,0.20840579710144921,0.1973328333866632,0.21947876081623524,0.2396135265700483,0.22873544274299654,0.2504916103971001
30,227.0,266.0,168.0,452.0,1.2872232747373473,1.1688287172036458,1.4056178322710489,0.23033816425120773,0.21830904445060112,0.24236728405181435,0.2950724637681159,0.2832858417104138,0.306859085825818
31,90.0,196.0,4.0,452.0,1.1452574957563346,1.0562695359068168,1.2342454556058524,0.3033816425120773,0.2902348423484527,0.31652844267570185,0.34628019323671494,0.3343393512463711,0.3582210352270588
32,177.0,208.0,239.0,452.0,1.2238267008366623,1.0170107804900526,1.430642621183272,0.13314009661835746,0.12032410974165579,0.14595608349505912,0.16028985507246374,0.14843891039258136,0.1721407997523461
33,189.0,197.0,99.0,452.0,1.2603832932730463,1.0090892363626023,1.5116773501834904,0.11516908212560384,0.10310519495994512,0.12723296929126254,0.14212560386473427,0.12838941982226654,0.155861787907202
34,189.0,197.0,228.0,452.0,1.67140248276942,1.285086473946216,2.0577184915926243,0.0878260869565217,0.0757449517725667,0.09990722214047672,0.14212560386473427,0.12838941982226654,0.155861787907202
35,189.0,191.0,228.0,452.0,1.6530759911479715,1.3252454490775212,1.9809065332184221,0.09913043478260868,0.08703040266349729,0.11123046690172006,0.15990338164251205,0.14740767006027236,0.17239909322475175
36,177.0,189.0,99.0,452.0,1.5331271924163388,1.3062623380443041,1.7599920467883732,0.1256038647342995,0.11492890599196888,0.1362788234766301,0.19014492753623183,0.17801589458050981,0.20227396049195384
37,177.0,189.0,230.0,452.0,1.3937005224163,1.200517618587904,1.586883426244696,0.13787439613526564,0.12746617498591442,0.14828261728461686,0.19014492753623183,0.17801589458050981,0.20227396049195384
38,17.0,206.0,258.0,452.0,1.1907785247933491,1.0704332710129867,1.3111237785737118,0.2103381642512077,0.19883755839054332,0.22183877011187206,0.2490821256038647,0.23746360032834918,0.2607006508793802
39,176.0,206.0,4.0,452.0,1.1478777411641221,1.025910614597123,1.2698448677311212,0.21314009661835745,0.20029249364307053,0.22598769959364437,0.24309178743961352,0.2318431797815057,0.25434039509772133
40,167.0,266.0,278.0,452.0,1.3194592694678327,1.1940506641096835,1.444867874825982,0.21555555555555553,0.2042197562546968,0.22689135485641426,0.2829951690821256,0.27091977294704733,0.2950705652172038
41,167.0,266.0,248.0,452.0,1.284127682015587,1.1597890554524235,1.40846630857875,0.22154589371980674,0.20949778025926125,0.23359400718035223,0.2829951690821256,0.27091977294704733,0.2950705652172038
42,92.0,196.0,4.0,452.0,1.1631650578112485,1.0789270135170386,1.2474031021054584,0.3104347826086956,0.2975321580431286,0.3233374071742626,0.36,0.34885746308086985,0.37114253691913013
43,137.0,260.0,197.0,452.0,1.717162150332608,1.2405562953629952,2.193768005302221,0.06830917874396132,0.05654449951283022,0.08007385797509242,0.11169082125603862,0.09933612860500328,0.12404551390707395
44,137.0,147.0,208.0,452.0,1.827495954404084,1.3070079146083093,2.3479839941998586,0.0733333333333333,0.060140692944861,0.08652597372180562,0.12714975845410625,0.11309013247359054,0.14120938443462197
45,137.0,147.0,218.0,452.0,1.3325037425906783,1.0099704477892335,1.6550370373921228,0.09864734299516906,0.08532098149122307,0.11197370449911505,0.12714975845410625,0.11309013247359054,0.14120938443462197
46,137.0,147.0,189.0,452.0,1.627598181763022,1.2054846846807195,2.0497116788453247,0.0813526570048309,0.06889231587643109,0.0938129981332307,0.12714975845410625,0.11309013247359054,0.14120938443462197
47,137.0,147.0,116.0,452.0,1.4329487678202495,1.0802680045812576,1.7856295310592414,0.0918840579710145,0.07908100867421032,0.10468710726781867,0.12714975845410625,0.11309013247359054,0.14120938443462197
48,189.0,197.0,125.0,452.0,1.450501681352245,1.1277978508782585,1.7732055118262318,0.10086956521739127,0.08789832135513684,0.1138408090796457,0.14212560386473427,0.12838941982226654,0.155861787907202
49,167.0,206.0,258.0,452.0,1.1878927793021745,1.067465750034685,1.3083198085696643,0.21169082125603864,0.1999186398406627,0.22346300267141458,0.25004830917874393,0.2385391017516444,0.2615575166058435
50,101.0,266.0,198.0,452.0,1.2522117662873429,1.1359495433613824,1.3684739892133035,0.21971014492753618,0.2084665655662698,0.23095372428880256,0.2738164251207729,0.2623517776434759,0.28528107259806995
51,247.0,266.0,198.0,452.0,1.2024064829522307,1.0910243170282645,1.313788648876197,0.24463768115942025,0.23206555526776007,0.25720980705108043,0.2927536231884058,0.2806221540708767,0.3048850923059349
52,176.0,223.0,168.0,452.0,1.1491295222804043,1.0596422050484038,1.2386168395124049,0.269951690821256,0.25843370611966404,0.2814696755228479,0.3091787439613526,0.29825714762528927,0.3201003402974159
53,137.0,260.0,252.0,452.0,1.5447732949023574,1.1453849730146222,1.9441616167900924,0.07526570048309175,0.0638041163017503,0.0867272846644332,0.11169082125603862,0.09933612860500328,0.12404551390707395
54,177.0,189.0,210.0,452.0,1.3423859034664334,1.154457085224663,1.5303147217082036,0.14318840579710143,0.13217801385728478,0.15419879773691808,0.19014492753623183,0.17801589458050981,0.20227396049195384
55,75.0,258.0,278.0,452.0,1.2890497376839856,1.157114813903528,1.420984661464443,0.20734299516908208,0.19540566730773057,0.2192803230304336,0.2657004830917874,0.2537325101760657,0.2776684560075091
56,167.0,176.0,4.0,452.0,1.1191966924955556,1.001993989350981,1.2363993956401305,0.22173913043478258,0.2089148979516069,0.23456336291795826,0.24666666666666665,0.235031079765747,0.2583022535675863
57,75.0,223.0,92.0,452.0,1.1804587765096732,1.0763958414387262,1.2845217115806202,0.2509178743961353,0.23917150569522974,0.26266424309704084,0.294975845410628,0.2827306989643054,0.30722099185695056
58,206.0,266.0,248.0,452.0,1.1875536783485936,1.0765434221968944,1.2985639345002926,0.22289855072463766,0.21185693182796766,0.23394016962130765,0.2634782608695652,0.2518467507934445,0.27510977094568595
59,101.0,266.0,248.0,452.0,1.199158572486012,1.0864646513746001,1.3118524935974243,0.2294685990338164,0.21746429113821986,0.24147290692941292,0.2738164251207729,0.2623517776434759,0.28528107259806995
60,167.0,266.0,168.0,452.0,1.1673369928259865,1.0587001637924194,1.2759738218595535,0.2435748792270531,0.2312512687659843,0.25589848968812184,0.2829951690821256,0.27091977294704733,0.2950705652172038
61,247.0,266.0,168.0,452.0,1.2234527194023945,1.1116360275644188,1.3352694112403705,0.24038647342995165,0.22833226743561685,0.25244067942428644,0.2927536231884058,0.2806221540708767,0.3048850923059349
62,92.0,248.0,4.0,452.0,1.231287792597723,1.126965434479262,1.335610150716184,0.24705314009661833,0.23556618309728652,0.25854009709595016,0.30299516908212554,0.29136575285404803,0.31462458531020304
63,92.0,176.0,198.0,452.0,1.0988879631642403,1.0219715524437096,1.175804373884771,0.2815458937198067,0.2712963271682241,0.2917954602713893,0.3085990338164251,0.29820665952957853,0.3189914081032717
64,92.0,266.0,198.0,452.0,1.159276164166262,1.0749971476103446,1.2435551807221792,0.28772946859903376,0.2770398582905281,0.29841907890753944,0.33265700483091787,0.3207996586181112,0.3445143510437245
65,177.0,208.0,99.0,452.0,1.2756908299253418,1.0710110124517422,1.4803706473989415,0.12743961352657002,0.11628222976104192,0.1385969972920981,0.16028985507246374,0.14843891039258136,0.1721407997523461
66,177.0,208.0,230.0,452.0,1.2028340589673912,1.0199876994388501,1.3856804184959324,0.13487922705314007,0.12422835558230227,0.14553009852397786,0.16028985507246374,0.14843891039258136,0.1721407997523461
67,189.0,197.0,268.0,452.0,1.381897373210676,1.1031299007532631,1.660664845668089,0.10512077294685987,0.09385505348281066,0.11638649241090908,0.14212560386473427,0.12838941982226654,0.155861787907202
