,f1,f2,screen_f,screen_koef
106,75.0,90.0,92.0,1.0098684210526314
107,75.0,191.0,52.0,1.0100334448160535
108,177.0,189.0,75.0,1.0101694915254238
109,177.0,189.0,269.0,1.0101694915254238
110,177.0,189.0,52.0,1.0101694915254238
111,177.0,189.0,268.0,1.0101694915254238
112,177.0,189.0,228.0,1.0101694915254238
113,177.0,189.0,247.0,1.0101694915254238
114,137.0,147.0,112.0,1.0103806228373702
115,137.0,147.0,198.0,1.0103806228373702
116,137.0,147.0,269.0,1.0103806228373702
117,137.0,147.0,177.0,1.0103806228373702
118,137.0,147.0,169.0,1.0103806228373702
119,92.0,266.0,178.0,1.0126182965299684
120,176.0,223.0,4.0,1.0126182965299684
121,92.0,248.0,198.0,1.0126984126984127
122,227.0,266.0,198.0,1.0127388535031847
123,223.0,248.0,4.0,1.0127388535031847
124,247.0,266.0,166.0,1.0128205128205128
125,247.0,266.0,178.0,1.0128205128205128
126,247.0,266.0,278.0,1.0128205128205128
127,176.0,206.0,168.0,1.013029315960912
128,206.0,266.0,168.0,1.013029315960912
129,239.0,266.0,198.0,1.0130718954248366
130,17.0,206.0,248.0,1.0130718954248366
131,167.0,176.0,198.0,1.0131147540983607
132,101.0,176.0,4.0,1.013157894736842
133,210.0,258.0,278.0,1.013157894736842
134,75.0,266.0,278.0,1.013157894736842
135,176.0,258.0,4.0,1.013157894736842
136,177.0,189.0,172.0,1.0136054421768708
137,177.0,189.0,101.0,1.0136054421768708
138,189.0,197.0,268.0,1.0136986301369864
139,189.0,197.0,75.0,1.0136986301369864
140,177.0,208.0,230.0,1.013793103448276
141,177.0,208.0,99.0,1.013793103448276
142,137.0,147.0,231.0,1.0138888888888888
143,137.0,260.0,257.0,1.0140350877192983
144,92.0,266.0,198.0,1.0158227848101267
145,92.0,176.0,198.0,1.0158730158730158
146,92.0,248.0,4.0,1.015923566878981
147,247.0,266.0,168.0,1.0160771704180063
148,167.0,266.0,168.0,1.0161290322580647
149,101.0,266.0,248.0,1.01628664495114
150,206.0,266.0,248.0,1.0163398692810457
151,75.0,223.0,92.0,1.0164473684210527
152,167.0,176.0,4.0,1.0164473684210527
153,75.0,258.0,278.0,1.0164473684210527
154,90.0,268.0,92.0,1.0166112956810633
155,177.0,189.0,210.0,1.0170648464163823
156,189.0,197.0,210.0,1.0171821305841926
157,177.0,208.0,198.0,1.0173010380622838
158,137.0,147.0,239.0,1.0174216027874563
159,137.0,147.0,17.0,1.0174216027874563
160,137.0,260.0,252.0,1.017605633802817
161,137.0,260.0,116.0,1.017605633802817
162,176.0,223.0,168.0,1.019047619047619
163,247.0,266.0,198.0,1.0193548387096774
164,101.0,266.0,198.0,1.0196078431372548
165,167.0,206.0,258.0,1.0198019801980198
166,90.0,256.0,223.0,1.0199335548172759
167,189.0,197.0,125.0,1.0206896551724138
168,137.0,147.0,52.0,1.020979020979021
169,137.0,147.0,218.0,1.020979020979021
170,137.0,147.0,208.0,1.020979020979021
171,137.0,147.0,256.0,1.020979020979021
172,137.0,147.0,189.0,1.020979020979021
173,137.0,147.0,116.0,1.020979020979021
174,137.0,260.0,111.0,1.0212014134275618
175,137.0,260.0,197.0,1.0212014134275618
176,92.0,196.0,4.0,1.0216049382716048
177,167.0,266.0,248.0,1.022727272727273
178,167.0,266.0,278.0,1.022727272727273
179,176.0,206.0,4.0,1.0230263157894737
180,17.0,206.0,258.0,1.023102310231023
181,177.0,189.0,230.0,1.0240549828178696
182,177.0,189.0,99.0,1.0240549828178696
183,189.0,197.0,99.0,1.0242214532871972
184,189.0,197.0,230.0,1.0242214532871972
185,189.0,191.0,228.0,1.0242214532871972
186,189.0,197.0,228.0,1.0242214532871972
187,177.0,208.0,239.0,1.024390243902439
188,137.0,147.0,225.0,1.0245614035087718
189,90.0,196.0,4.0,1.0246913580246915
190,137.0,260.0,206.0,1.024822695035461
191,137.0,260.0,167.0,1.024822695035461
192,227.0,266.0,168.0,1.0258064516129033
193,223.0,268.0,92.0,1.026578073089701
194,68.0,162.0,125.0,1.0273972602739727
195,177.0,189.0,68.0,1.0275862068965518
196,189.0,191.0,68.0,1.027777777777778
197,189.0,197.0,68.0,1.027777777777778
198,189.0,197.0,1.0,1.027777777777778
199,189.0,191.0,1.0,1.027777777777778
200,177.0,208.0,162.0,1.027972027972028
201,137.0,147.0,252.0,1.028169014084507
202,137.0,147.0,111.0,1.028169014084507
203,227.0,266.0,248.0,1.029126213592233
204,247.0,266.0,248.0,1.0293159609120521
205,167.0,266.0,198.0,1.0294117647058822
206,196.0,223.0,4.0,1.0308641975308643
207,177.0,189.0,125.0,1.0311418685121108
208,189.0,191.0,239.0,1.0313588850174216
209,189.0,197.0,239.0,1.0313588850174216
210,177.0,208.0,52.0,1.031578947368421
211,90.0,176.0,4.0,1.032894736842105
212,17.0,68.0,125.0,1.0344827586206897
213,177.0,189.0,1.0,1.0347222222222223
214,189.0,197.0,7.0,1.034965034965035
215,137.0,147.0,206.0,1.0354609929078016
216,137.0,147.0,167.0,1.0354609929078016
217,177.0,189.0,239.0,1.038327526132404
218,137.0,260.0,1.0,1.0395683453237412
219,137.0,147.0,229.0,1.042857142857143
220,137.0,147.0,262.0,1.046594982078853
221,137.0,147.0,1.0,1.050359712230216
222,92.0,176.0,4.0,1.0526315789473684
223,137.0,147.0,228.0,1.0541516245487366
224,137.0,147.0,221.0,1.0541516245487366
225,177.0,208.0,1.0,1.0575539568345325
226,68.0,162.0,89.0,1.0600706713780919
227,17.0,68.0,89.0,1.0600706713780919
228,137.0,260.0,80.0,1.0823970037453186
